Song,Artist,Date,Song ID,Streams,Rank
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"857,220",1
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"729,464",2
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"212,178",3
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-06,78rIJddV4X0HkNAInEcYde,"180,757",4
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"170,869",5
Touch,Little Mix,2017-01-06,5Ua3GXyHwiSfpNTMjq6m2z,"166,242",6
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"165,204",7
Say You Won't Let Go,James Arthur,2017-01-06,5uCax9HTNlzGybIStD3vDh,"165,171",8
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-06,3EmmCZoqpWOTY1g2GBwJoR,"157,671",9
All Night,"The Vamps, Matoma",2017-01-06,1yNyoWWWikbLhwIGWjZuDW,"154,461",10
Sexual,"NEIKED, Dyo",2017-01-06,3AsAuGTaDQzavZZThyYlop,"152,536",11
I Would Like,Zara Larsson,2017-01-06,4Q4jmPHwu0wrJvqrld0FQ6,"149,298",12
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"144,711",13
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"136,354",14
By Your Side,"Jonas Blue, RAYE",2017-01-06,1D3ODoXHBLpdxolZRHWV1j,"131,250",15
The Mack,"Nevada, Mark Morrison, Fetty Wap",2017-01-06,7aV2mflaASUmGhCErm7kBO,"122,826",16
Now and Later,Sage The Gemini,2017-01-06,43jBqV3j3Xi1g6wO0bhIMd,"122,109",17
Human,Rag'n'Bone Man,2017-01-06,58zsLZPvfflaiIbNWoA22O,"117,669",18
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"116,730",19
24K Magic,Bruno Mars,2017-01-06,6b8Be6ljOzmkOmFslEb23P,"108,159",20
Black Beatles,"Rae Sremmurd, Gucci Mane",2017-01-06,6fujklziTHa8uoM5OQSfIo,"107,670",21
Love Me Now,John Legend,2017-01-06,6nxQdXa1uAL0rY72wPZu89,"105,851",22
Water Under the Bridge,Adele,2017-01-06,4vb4mFvYsr2h6enhjJsq9Y,"104,030",23
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",2017-01-06,1cG0umU5TKStygKsPFZ9pY,"103,610",24
You Don't Know Me - Radio Edit,"Jax Jones, RAYE",2017-01-06,00lNx0OcTJrS3MKHcB80HY,"101,003",25
"How Far I'll Go - From ""Moana""",Alessia Cara,2017-01-06,5hYTyyh2odQKphUbMqc5gN,"99,871",26
September Song,JP Cooper,2017-01-06,0FuTx2s3YH1ppmtiM6l0zI,"99,636",27
One Dance,"Drake, WizKid, Kyla",2017-01-06,1xznGGDReH1oQq0xzbwXa3,"99,422",28
Photograph,Ed Sheeran,2017-01-06,6fxVffaTuwjgEk5h9QyRjy,"97,731",29
Side To Side,"Ariana Grande, Nicki Minaj",2017-01-06,4pLwZjInHj3SimIyN9SnOz,"93,183",30
Fake Love,Drake,2017-01-06,343YBumqHu19cGoGARUTsd,"92,891",31
Shout Out to My Ex,Little Mix,2017-01-06,0YHUITU3w6ws1v8ehT264g,"92,460",32
Bad Things (with Camila Cabello),Machine Gun Kelly,2017-01-06,1PSBzsahR2AKwLJgx8ehBj,"89,838",33
My Way,Calvin Harris,2017-01-06,1vvNmPOiUuyCbgWmtc6yfm,"88,607",34
All We Know,"The Chainsmokers, Phoebe Ryan",2017-01-06,2rizacJSyD9S1IQUxUxnsK,"88,078",35
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"86,914",36
The Greatest (feat. Kendrick Lamar),Sia,2017-01-06,7xHWNBFm6ObGEQPaUxHuKO,"86,581",37
Starving,"Hailee Steinfeld, Grey, Zedd",2017-01-06,1qOLh0tI7trd1zdDKxYZTe,"85,918",38
The A Team,Ed Sheeran,2017-01-06,1VdZ0vKfR5jneCmWIUAMxK,"83,793",39
Love on Me,"Galantis, Hook N Sling",2017-01-06,2MHCiOohBZEQuLgDTPvSzF,"80,215",40
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-06,6DNtNfH8hXkqOX1sjqmI7p,"78,841",41
Mercy,Shawn Mendes,2017-01-06,4TZy1wLyHec06pwgFYDh1a,"77,366",42
Oh Lord,MiC LOWRY,2017-01-06,1sTUEdVO85YU8Ymk2jeAls,"74,435",43
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2017-01-06,6JV2JOEocMgcZxYSZelKcc,"72,484",44
After the Afterparty (feat. Lil Yachty),Charli XCX,2017-01-06,0y8Wf6ltWpGCpgqVa21QNX,"72,215",45
In the Name of Love,"Martin Garrix, Bebe Rexha",2017-01-06,04DwTuZ2VBdJCCC5TROn7L,"71,240",46
Thinking out Loud,Ed Sheeran,2017-01-06,1Slwb6dOYkBlWal1PGtnNg,"71,172",47
Don't Let Me Down (feat. Daya),The Chainsmokers,2017-01-06,0QsvXIfqM0zZoerQfsI9lm,"68,390",48
Treat You Better,Shawn Mendes,2017-01-06,4Hf7WnR761jpxPr5D46Bcd,"64,163",49
Give Me Love,Ed Sheeran,2017-01-06,0SuG9kyzGRpDqrCWtgD6Lq,"56,333",50
You Want Me (feat. Sadie Ama),Tom Zanetti,2017-01-06,4xX7OsX8XTGWJgRxNNIaFT,"52,189",51
Make Me (Cry),"Noah Cyrus, Labrinth",2017-01-06,2BrzlUj1u1CtvaJDGIKpsP,"51,778",52
So Good,Louisa,2017-01-06,20js7QbHkIuzrgecUTPfl7,"51,001",53
Cheap Thrills,Sia,2017-01-06,27SdWb2rFzO6GWiYDBTD9j,"49,983",54
Don't,Ed Sheeran,2017-01-06,6gTJaPuj8DT8RjuDJyBgzP,"49,327",55
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,2017-01-06,3B7udSGy2PfgoCniMSb523,"49,253",56
Heathens,Twenty One Pilots,2017-01-06,6i0V12jOa3mr6uu4WYhUBr,"48,439",57
Tenerife Sea,Ed Sheeran,2017-01-06,6vSwxzO2Qf4BinHSXRwZJe,"47,196",58
Don't Leave,"Snakehips, MØ",2017-01-06,0Zx8khUcEfCFK2AEoIhC92,"47,047",59
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2017-01-06,17Fd6Yb7mSbinKG8LoWfFl,"46,141",60
Bad and Boujee (feat. Lil Uzi Vert),Migos,2017-01-06,4Km5HrUvYTaSUfiSGPJeQR,"45,080",61
No Lie,"Sean Paul, Dua Lipa",2017-01-06,3cFsmM51N5zMAuu1nNY4Tw,"44,928",62
This Is What You Came For (feat. Rihanna),Calvin Harris,2017-01-06,0azC730Exh71aQlOt9Zj3y,"44,743",63
Oops,"Little Mix, Charlie Puth",2017-01-06,37xcWhVKQ99uuiA5Y4yapi,"44,069",64
Scars To Your Beautiful,Alessia Cara,2017-01-06,0prNGof3XqfTvNDxHonvdK,"42,551",65
Miss You,James Hersey,2017-01-06,7of1slAJIWrXxP8ikAHxje,"41,465",66
Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,2017-01-06,2wDjpPW3HZdA9quPPmZAMu,"40,681",67
Deja Vu,J. Cole,2017-01-06,6I6NX6tjGsxFAsIfGzY9lJ,"40,638",68
Should've Been Me,"Naughty Boy, Kyla, Popcaan",2017-01-06,4aiLpwwZw5Ek9KkBMnt6Zu,"38,373",69
Rooting For You,London Grammar,2017-01-06,2nAAFnHiXRdWhsqoeqhhnr,"37,614",70
Would I Lie to You,John Gibbons,2017-01-06,6Zp0OnaLtS9AjtK1jeC930,"36,567",71
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2017-01-06,4tCtwWceOPWzenK2HAIJSb,"36,430",72
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,2017-01-06,0L7loeTIg6akW84aEQZpCT,"36,335",73
Solo Dance,Martin Jensen,2017-01-06,6HUnnBwYZqcED1eQztxMBN,"35,838",74
Everglow,Coldplay,2017-01-06,6aG68QSwv0hgNTq90I2GOE,"35,684",75
Alone,Alan Walker,2017-01-06,0JiVRyTJcJnmlwCZ854K4p,"35,372",76
One,Ed Sheeran,2017-01-06,0A2J5TumCpT4aJVvQHNEQW,"35,359",77
Find Me,"Sigma, Birdy",2017-01-06,2Wr970IfovsSGnfkE08iMF,"35,352",78
Too Good,"Drake, Rihanna",2017-01-06,11KJSRSgaDxqydKYiD2Jew,"35,311",79
I'm a Mess,Ed Sheeran,2017-01-06,3KiktyOxQd2Z0bmnabgRq2,"35,242",80
I Got You,Bebe Rexha,2017-01-06,1FUViuNSldssMIawrOXF2i,"34,785",81
Kiss Me,Ed Sheeran,2017-01-06,0Tel1fmuCxEFV6wBLXsEdk,"34,430",82
Sorry,Justin Bieber,2017-01-06,69bp2EbF7Q2rqc5N3ylezZ,"34,291",83
Mr. Brightside,The Killers,2017-01-06,7oK9VyNzrYvRFo7nQEYkWN,"34,187",84
Dancing On My Own,Calum Scott,2017-01-06,02WacdrRpm4zlP8H7X6bnQ,"33,812",85
Love$ick,"Mura Masa, A$AP Rocky",2017-01-06,5v9N8Rx3QsFvr50cxyQcA3,"33,754",86
Lay It All on Me (feat. Ed Sheeran),Rudimental,2017-01-06,0vbbhcA6okLzvsy6WSTlLg,"33,554",87
Blow Your Mind (Mwah),Dua Lipa,2017-01-06,2eAAEa8pxKF7My0EO4rFgR,"33,522",88
Drunk,Ed Sheeran,2017-01-06,4RnCPWlBsY7oUDdyruod7Y,"33,324",89
Only One - Radio Edit,"Sigala, Digital Farm Animals",2017-01-06,5ev0Z2lFzmhjlQCWpRAWiG,"32,807",90
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2017-01-06,68EMU2RD1ECNeOeJ5qAXCV,"32,381",91
Chantaje (feat. Maluma),Shakira,2017-01-06,6mICuAdrwEjh6Y6lroV2Kg,"32,365",92
Sing,Ed Sheeran,2017-01-06,6u0oHknFYrnUd42A6rvFly,"32,156",93
Sunset Lover,Petit Biscuit,2017-01-06,0hNduWmlWmEmuwEFcYvRu1,"31,248",94
Perfect Strangers,"Jonas Blue, JP Cooper",2017-01-06,1CUVN2kn7mW5FjkqXTR2W1,"31,011",95
Hear Me Now,"Alok, Bruno Martini, Zeeba",2017-01-06,1a5Yu5L18qNxVhXx38njON,"30,808",96
Into You,Ariana Grande,2017-01-06,7yHEDfrJNd0zWOfXwydNH0,"30,559",97
Stronger,Kanye West,2017-01-06,6C7RJEIUDqKkJRZVWdkfkH,"29,683",98
Love Yourself,Justin Bieber,2017-01-06,3hB5DgAiMAQ4DzYbsMq1IT,"29,263",99
Bloodstream,Ed Sheeran,2017-01-06,5mxTOMM0NiRud8VdBxbA2o,"29,073",100
Take My Hand,Picture This,2017-01-06,06KH78mmsvESwUgJzdNOEc,"29,067",101
Girls Like (feat. Zara Larsson),Tinie Tempah,2017-01-06,5BOZ4skcMubA0R6RD4zf64,"29,064",102
This Town,Niall Horan,2017-01-06,5nA67Y0XX9JipZwYxX7Gl7,"29,037",103
Weak,AJR,2017-01-06,3E2Zh20GDCR9B1EYjfXWyv,"28,581",104
Lush Life,Zara Larsson,2017-01-06,1rIKgCH4H52lrvDcz50hS8,"28,548",105
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,2017-01-06,0tICYNayWWhH9GPeFrfjfD,"28,429",106
Controlla,Drake,2017-01-06,6F609ICg9Spjrw1epsAnpa,"28,160",107
Redbone,Childish Gambino,2017-01-06,3kxfsdsCpFgN412fpnW85Y,"27,859",108
Ain't My Fault,Zara Larsson,2017-01-06,0ADG9OgdVTL7fgREP75BrZ,"27,581",109
Fresh Eyes,Andy Grammer,2017-01-06,4nMlau89VAjmV7agkl7OY3,"27,403",110
Cake By The Ocean,DNCE,2017-01-06,2aFiaMXmWsM3Vj72F9ksBl,"27,132",111
Party Monster,The Weeknd,2017-01-06,4F7A0DXBrmUAkp32uenhZt,"27,009",112
7 Years,Lukas Graham,2017-01-06,7129iqBafaphfc3WPCGC0L,"26,843",113
Let It Go,James Bay,2017-01-06,13HVjjWUZFaWilh2QUJKsP,"26,699",114
On Hold,The xx,2017-01-06,5CPqOpKSk0QcJ3dGdaWcRB,"26,404",115
All Time Low,Jon Bellion,2017-01-06,1CnPYaKxTVb4LWOtiGOm0m,"26,357",116
Say Something Loving,The xx,2017-01-06,728zbo72kOoYdGR3AhNsyF,"26,292",117
Setting Fires,"The Chainsmokers, XYLØ",2017-01-06,0B8B8cVRFIG1yznoQe7c9s,"26,181",118
Small Bump,Ed Sheeran,2017-01-06,4z1O25cq9g2kuJemmUxc21,"26,114",119
Move Your Body - Single Mix,Sia,2017-01-06,7ynCQo1KpBOyTdTdAnjSLZ,"25,861",120
Lot to Learn,Luke Christopher,2017-01-06,3TRFq09DUgYj1mug6RRqJW,"25,303",121
Final Song,MØ,2017-01-06,4qqArAiTPueDxIp7cf87h7,"25,280",122
Dynamite (feat. Pretty Sister),Nause,2017-01-06,2Ae5awwKvQpTBKQHr1TYCg,"25,273",123
Broccoli (feat. Lil Yachty),Shelley FKA DRAM,2017-01-06,7yyRTcZmCiyzzJlNzGC9Ol,"25,243",124
"You Need Me, I Don't Need You",Ed Sheeran,2017-01-06,5KL4iZkCTZyXl7KnHgfVDj,"25,185",125
"i hate u, i love u (feat. olivia o'brien)",gnash,2017-01-06,7vRriwrloYVaoAe3a9wJHe,"25,153",126
The Greatest,Sia,2017-01-06,6bLopGnirdrilrpdVB6Um1,"25,080",127
Fast Car,"Jonas Blue, Dakota",2017-01-06,6OZh916QF8XNunWaP97WEZ,"24,914",128
That's My Girl,Fifth Harmony,2017-01-06,2ACOWPLUe4A4KuQ5ioD2od,"24,767",129
Not In Love,"M.O, Kent Jones",2017-01-06,5Odgb6uCWnL8U3Eb3ijLZj,"24,712",130
Adventure of a Lifetime,Coldplay,2017-01-06,69uxyAqqPIsUyTO8txoP2M,"24,630",131
Cheap Thrills (feat. Sean Paul),Sia,2017-01-06,378iszndTZAR4dH8kwsLC6,"24,509",132
Stressed Out,Twenty One Pilots,2017-01-06,3CRDbSIZ4r5MsZ0YwxuEkn,"24,271",133
Faded,Alan Walker,2017-01-06,7gHs73wELdeycvS48JfIos,"23,834",134
Capsize,"FRENSHIP, Emily Warren",2017-01-06,2XMTqoHHSH0lvuXrvIEdco,"23,716",135
Hello,Adele,2017-01-06,4sPmO7WMQUAf45kwMOtONw,"23,695",136
Sex,"Cheat Codes, Kris Kross Amsterdam",2017-01-06,5DA77EqppDmCTWGovd4oTP,"23,546",137
Stitches,Shawn Mendes,2017-01-06,1WP1r7fuvRqZRnUaTi2I1Q,"23,504",138
Lego House,Ed Sheeran,2017-01-06,53Pgsvu3qSYO2aXt5J2vcL,"23,471",139
Send My Love (To Your New Lover),Adele,2017-01-06,4BHzQ9C00ceJxfG16AlNWb,"23,387",140
Can't Stop,Red Hot Chili Peppers,2017-01-06,3ZOEytgrvLwQaqXreDs2Jx,"23,184",141
What Do You Mean?,Justin Bieber,2017-01-06,3pzjHKrQSvXGHQ98dx18HI,"23,061",142
When We Were Young,Adele,2017-01-06,7IWkJwX9C0J7tHurTD7ViL,"22,943",143
Panda,Desiigner,2017-01-06,5OOkp4U9P9oL23maHFHL1h,"22,627",144
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,2017-01-06,40UroIGvsMPLPBYwH8rMNA,"22,578",145
Years & Years,Olly Murs,2017-01-06,3t1phUY6LrP0Bpd5eNT8Dt,"22,225",146
Taped up Heart (feat. Clara Mae),KREAM,2017-01-06,26hcyzSE154xMZCbFdtInA,"22,180",147
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,2017-01-06,4dASQiO1Eoo3RJvt74FtXB,"22,125",148
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,2017-01-06,5Z01UMMf7V1o0MzF86s6WJ,"21,919",149
Million Reasons,Lady Gaga,2017-01-06,50PWlIBU7PlGGwzgN8TiFJ,"21,882",150
Lighthouse - Andrelli Remix,Hearts & Colors,2017-01-06,04CttTezSnv71USiiG9mIo,"21,833",151
Tilted,Christine and the Queens,2017-01-06,0mQnLhHH5WwRc5gtnzLtK6,"21,827",152
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,2017-01-06,3bidbhpOYeV4knp8AIu8Xn,"21,755",153
Alarm,Anne-Marie,2017-01-06,0OwX5aROoW1Iip8FV51Efg,"21,647",154
Speeding Cars,Walking On Cars,2017-01-06,4GylZDT7adqIfVoPHyFb5X,"21,336",155
Somebody Else,VÉRITÉ,2017-01-06,34i4yxPrHWquuR4kjiivFO,"21,047",156
Work,"Rihanna, Drake",2017-01-06,14WWzenpaEgQZlqPq2nk4v,"20,915",157
Say To Me,WHTKD,2017-01-06,7K0IjUT3y2wGxqd6u5DrTs,"20,886",158
Take Me To Church,Hozier,2017-01-06,0IqKeD8ZSP72KbGYyzEcAs,"20,594",159
Pompeii,Bastille,2017-01-06,3gbBpTdY8lnQwqxNCcf795,"20,521",160
Fluorescent Adolescent,Arctic Monkeys,2017-01-06,7e8utCy2JlSB8dRHKi49xM,"20,480",161
Nervous (The Ooh Song) - Mark McCabe Remix,Gavin James,2017-01-06,0L9lXMXddmoBbBUeF7A9An,"20,449",162
Seven Nation Army,The White Stripes,2017-01-06,1jNOi6m3Hn8nLEeHCp5Msr,"20,442",163
Cake - Challenge Version,"Flo Rida, 99 Percent",2017-01-06,6t2ubAB4iSYOuIpRAOGd4t,"20,321",164
Do I Wanna Know?,Arctic Monkeys,2017-01-06,3rq5w4bQGigXOfdN30ATJt,"20,290",165
When You Love Someone,James TW,2017-01-06,5fX2oPyLCe5mBKqGDbOWqC,"20,173",166
No Money,Galantis,2017-01-06,0gb1J5UrTpzaU1s3nupgCd,"20,026",167
The Ocean (feat. Shy Martin),Mike Perry,2017-01-06,2CPqh63wRVscbceKcPxwvv,"20,025",168
Ride,Twenty One Pilots,2017-01-06,2Z8WuEywRWYTKe1NybPQEW,"19,741",169
Ni**as In Paris,"JAY-Z, Kanye West",2017-01-06,2KpCpk6HjXXLb7nnXoXA5O,"19,530",170
Ignition - Remix,R. Kelly,2017-01-06,5dNfHmqgr128gMY2tc5CeJ,"19,354",171
What You Know,Two Door Cinema Club,2017-01-06,6jrMVRReY24qzCfe1BRrww,"19,260",172
Let Me Hold You (Turn Me On),"Dante Klein, Cheat Codes",2017-01-06,0lmdsH1MIoLsMymnNpd6HU,"19,212",173
Caroline,Aminé,2017-01-06,5GFDrUTLGJix84sNhjCG0g,"19,097",174
PILLOWTALK,ZAYN,2017-01-06,0PDUDa38GO8lMxLCRc4lL1,"18,950",175
I Will Wait,Mumford & Sons,2017-01-06,71O1jD7bF3cdMPvPi186V6,"18,945",176
House Work,"Jax Jones, Mike Dunn, MNEK",2017-01-06,4Kln4sYiZzemzfdbLXW00G,"18,884",177
Wake Up Where You Are,State of Sound,2017-01-06,2s76aKBWKShlwPC4xTtEEE,"18,666",178
Are You Sure? (feat. Ty Dolla $ign),"Kris Kross Amsterdam, Conor Maynard",2017-01-06,0fH86zQcE2CmATQju6WpXv,"18,624",179
False Alarm,"Matoma, Becky Hill",2017-01-06,7gZQfdEQpmwAoPHSbEHzms,"18,546",180
Dark Times,"The Weeknd, Ed Sheeran",2017-01-06,0Gi17qCJh9e9RJxLaYkm9l,"18,477",181
Hymn for the Weekend - Seeb Remix,Coldplay,2017-01-06,1OAiWI2oPmglaOiv9fdioU,"18,466",182
Famous,Kanye West,2017-01-06,19a3JfW8BQwqHWUMbcqSx8,"18,392",183
Sidewalks,"The Weeknd, Kendrick Lamar",2017-01-06,4h90qkbnW1Qq6pBhoPvwko,"18,268",184
Cocoon,Milky Chance,2017-01-06,0L87MffumRNWrY2SNUFcvs,"18,204",185
Show Me (feat. Malisha Bleau),"Ryan Blyth, After 6",2017-01-06,1mebe3JaPfy8SOTksMKEom,"17,980",186
Crank It (Woah!) - Radio Edit,"Kideko, George Kwali, Nadia Rose, Sweetie Irie",2017-01-06,4PXVZqZdzzfqFX39LS52b3,"17,978",187
Trouble,OFFAIAH,2017-01-06,2pex1RNUgi1FwVUTMnIQ1x,"17,976",188
Needed Me,Rihanna,2017-01-06,1Tt4sE4pXi57mTD1GCzsqm,"17,948",189
Lost Boy,Ruth B.,2017-01-06,0zMzyHAeMvwq5CRstru1Fp,"17,882",190
Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy,2017-01-06,1Bqxj0aH5KewYHKUg1IdrF,"17,714",191
Lean On (feat. MØ & DJ Snake),Major Lazer,2017-01-06,4WjH9Bzt3kx7z8kl0awxh4,"17,681",192
Hymn for the Weekend,Coldplay,2017-01-06,3RiPr603aXAoi4GHyXx0uy,"17,649",193
Piece of Me,"MK, Becky Hill",2017-01-06,1ZQnV7ePl8yXoLjPfhWE5L,"17,637",194
Not Going Home (feat. Gia Koka),"DVBBS, CMC$",2017-01-06,042x9bsUBWW2fJgJ6fUh61,"17,595",195
Little Bird - Deluxe Edition,Ed Sheeran,2017-01-06,4bcgRbGeq4IejesjsiHyTH,"17,594",196
Someone Like You,Adele,2017-01-06,4kflIGfjdZJW4ot2ioixTB,"17,393",197
Everywhere - Remastered,Fleetwood Mac,2017-01-06,0U6Ga0VWSGq6iEE1AKkgO1,"17,390",198
Fade,Kanye West,2017-01-06,3cCxoOgfi6hgt8MNteuiiD,"17,324",199
Rockin’,The Weeknd,2017-01-06,36YCdzT57us0LhDmCYtrNE,"17,311",200
Shape of You,Ed Sheeran,2017-01-13,7qiZfU4dY1lWllzX7mPBI3,"636,761",1
Castle on the Hill,Ed Sheeran,2017-01-13,6PCUP3dWmTjcTtXY02oFdT,"490,971",2
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-13,5knuzwU65gJK7IF5yJsuaW,"220,711",3
Paris,The Chainsmokers,2017-01-13,72jbDTw1piOOj770jWNeaG,"209,064",4
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-13,78rIJddV4X0HkNAInEcYde,"202,967",5
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-13,3NdDpSvN911VPGivFlV5d0,"186,614",6
Touch,Little Mix,2017-01-13,5Ua3GXyHwiSfpNTMjq6m2z,"178,294",7
Say You Won't Let Go,James Arthur,2017-01-13,5uCax9HTNlzGybIStD3vDh,"172,933",8
Starboy,"The Weeknd, Daft Punk",2017-01-13,5aAx2yezTd8zXrkmtKl66Z,"171,439",9
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-13,3EmmCZoqpWOTY1g2GBwJoR,"168,741",10
I Would Like,Zara Larsson,2017-01-13,4Q4jmPHwu0wrJvqrld0FQ6,"163,714",11
All Night,"The Vamps, Matoma",2017-01-13,1yNyoWWWikbLhwIGWjZuDW,"161,568",12
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-13,5MFzQMkrl1FOOng9tq6R9r,"154,290",13
Sexual,"NEIKED, Dyo",2017-01-13,3AsAuGTaDQzavZZThyYlop,"153,423",14
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-13,5GXAXm5YOmYT0kL5jHvYBt,"149,007",15
You Don't Know Me - Radio Edit,"Jax Jones, RAYE",2017-01-13,00lNx0OcTJrS3MKHcB80HY,"141,071",16
By Your Side,"Jonas Blue, RAYE",2017-01-13,1D3ODoXHBLpdxolZRHWV1j,"140,182",17
Now and Later,Sage The Gemini,2017-01-13,43jBqV3j3Xi1g6wO0bhIMd,"131,234",18
September Song,JP Cooper,2017-01-13,0FuTx2s3YH1ppmtiM6l0zI,"128,822",19
Human,Rag'n'Bone Man,2017-01-13,58zsLZPvfflaiIbNWoA22O,"128,586",20
"How Far I'll Go - From ""Moana""",Alessia Cara,2017-01-13,5hYTyyh2odQKphUbMqc5gN,"118,486",21
Closer,"The Chainsmokers, Halsey",2017-01-13,7BKLCZ1jbUBVqRi2FVlTVw,"117,811",22
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",2017-01-13,1cG0umU5TKStygKsPFZ9pY,"116,476",23
Love Me Now,John Legend,2017-01-13,6nxQdXa1uAL0rY72wPZu89,"114,567",24
Water Under the Bridge,Adele,2017-01-13,4vb4mFvYsr2h6enhjJsq9Y,"112,608",25
The Mack,"Nevada, Mark Morrison, Fetty Wap",2017-01-13,7aV2mflaASUmGhCErm7kBO,"111,968",26
24K Magic,Bruno Mars,2017-01-13,6b8Be6ljOzmkOmFslEb23P,"110,348",27
Bad Things (with Camila Cabello),Machine Gun Kelly,2017-01-13,1PSBzsahR2AKwLJgx8ehBj,"108,953",28
Black Beatles,"Rae Sremmurd, Gucci Mane",2017-01-13,6fujklziTHa8uoM5OQSfIo,"105,916",29
One Dance,"Drake, WizKid, Kyla",2017-01-13,1xznGGDReH1oQq0xzbwXa3,"101,089",30
Fake Love,Drake,2017-01-13,343YBumqHu19cGoGARUTsd,"99,923",31
Shout Out to My Ex,Little Mix,2017-01-13,0YHUITU3w6ws1v8ehT264g,"96,885",32
Side To Side,"Ariana Grande, Nicki Minaj",2017-01-13,4pLwZjInHj3SimIyN9SnOz,"95,269",33
All We Know,"The Chainsmokers, Phoebe Ryan",2017-01-13,2rizacJSyD9S1IQUxUxnsK,"93,304",34
My Way,Calvin Harris,2017-01-13,1vvNmPOiUuyCbgWmtc6yfm,"91,498",35
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-13,4pdPtRcBmOSQDlJ3Fk945m,"87,511",36
The Greatest (feat. Kendrick Lamar),Sia,2017-01-13,7xHWNBFm6ObGEQPaUxHuKO,"84,261",37
Starving,"Hailee Steinfeld, Grey, Zedd",2017-01-13,1qOLh0tI7trd1zdDKxYZTe,"84,139",38
Oh Lord,MiC LOWRY,2017-01-13,1sTUEdVO85YU8Ymk2jeAls,"82,855",39
Love on Me,"Galantis, Hook N Sling",2017-01-13,2MHCiOohBZEQuLgDTPvSzF,"82,743",40
Mercy,Shawn Mendes,2017-01-13,4TZy1wLyHec06pwgFYDh1a,"80,903",41
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-13,6DNtNfH8hXkqOX1sjqmI7p,"77,940",42
You Want Me (feat. Sadie Ama),Tom Zanetti,2017-01-13,4xX7OsX8XTGWJgRxNNIaFT,"77,480",43
Photograph,Ed Sheeran,2017-01-13,6fxVffaTuwjgEk5h9QyRjy,"77,135",44
Solo Dance,Martin Jensen,2017-01-13,6HUnnBwYZqcED1eQztxMBN,"76,246",45
After the Afterparty (feat. Lil Yachty),Charli XCX,2017-01-13,0y8Wf6ltWpGCpgqVa21QNX,"75,798",46
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2017-01-13,6JV2JOEocMgcZxYSZelKcc,"74,356",47
In the Name of Love,"Martin Garrix, Bebe Rexha",2017-01-13,04DwTuZ2VBdJCCC5TROn7L,"69,765",48
Don't Let Me Down (feat. Daya),The Chainsmokers,2017-01-13,0QsvXIfqM0zZoerQfsI9lm,"69,485",49
Treat You Better,Shawn Mendes,2017-01-13,4Hf7WnR761jpxPr5D46Bcd,"63,018",50
