Song,Artist,Date,Song ID,Streams,Rank
Shape of You,Ed Sheeran,2017-01-06,7qiZfU4dY1lWllzX7mPBI3,"124,015",1
Castle on the Hill,Ed Sheeran,2017-01-06,6PCUP3dWmTjcTtXY02oFdT,"66,618",2
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-06,5knuzwU65gJK7IF5yJsuaW,"63,559",3
Starboy,"The Weeknd, Daft Punk",2017-01-06,5aAx2yezTd8zXrkmtKl66Z,"47,229",4
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-06,3NdDpSvN911VPGivFlV5d0,"42,909",5
Closer,"The Chainsmokers, Halsey",2017-01-06,7BKLCZ1jbUBVqRi2FVlTVw,"39,806",6
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-06,4pdPtRcBmOSQDlJ3Fk945m,"36,844",7
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-06,78rIJddV4X0HkNAInEcYde,"36,328",8
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-06,5MFzQMkrl1FOOng9tq6R9r,"35,802",9
Human,Rag'n'Bone Man,2017-01-06,58zsLZPvfflaiIbNWoA22O,"34,351",10
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-06,3EmmCZoqpWOTY1g2GBwJoR,"33,382",11
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-06,5GXAXm5YOmYT0kL5jHvYBt,"32,171",12
Say You Won't Let Go,James Arthur,2017-01-06,5uCax9HTNlzGybIStD3vDh,"31,454",13
Heathens,Twenty One Pilots,2017-01-06,6i0V12jOa3mr6uu4WYhUBr,"30,462",14
In the Name of Love,"Martin Garrix, Bebe Rexha",2017-01-06,04DwTuZ2VBdJCCC5TROn7L,"28,492",15
Now and Later,Sage The Gemini,2017-01-06,43jBqV3j3Xi1g6wO0bhIMd,"28,114",16
My Way,Calvin Harris,2017-01-06,1vvNmPOiUuyCbgWmtc6yfm,"27,579",17
All Night,"The Vamps, Matoma",2017-01-06,1yNyoWWWikbLhwIGWjZuDW,"26,922",18
Black Beatles,"Rae Sremmurd, Gucci Mane",2017-01-06,6fujklziTHa8uoM5OQSfIo,"26,581",19
24K Magic,Bruno Mars,2017-01-06,6b8Be6ljOzmkOmFslEb23P,"26,107",20
Alone,Alan Walker,2017-01-06,0JiVRyTJcJnmlwCZ854K4p,"26,060",21
Cheap Thrills,Sia,2017-01-06,27SdWb2rFzO6GWiYDBTD9j,"25,538",22
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-06,6DNtNfH8hXkqOX1sjqmI7p,"25,535",23
All We Know,"The Chainsmokers, Phoebe Ryan",2017-01-06,2rizacJSyD9S1IQUxUxnsK,"25,319",24
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",2017-01-06,1cG0umU5TKStygKsPFZ9pY,"25,256",25
Treat You Better,Shawn Mendes,2017-01-06,4Hf7WnR761jpxPr5D46Bcd,"25,179",26
Side To Side,"Ariana Grande, Nicki Minaj",2017-01-06,4pLwZjInHj3SimIyN9SnOz,"25,154",27
Bad Things (with Camila Cabello),Machine Gun Kelly,2017-01-06,1PSBzsahR2AKwLJgx8ehBj,"25,116",28
Mercy,Shawn Mendes,2017-01-06,4TZy1wLyHec06pwgFYDh1a,"25,023",29
Fake Love,Drake,2017-01-06,343YBumqHu19cGoGARUTsd,"23,528",30
Don't Let Me Down (feat. Daya),The Chainsmokers,2017-01-06,0QsvXIfqM0zZoerQfsI9lm,"23,130",31
Love Me Now,John Legend,2017-01-06,6nxQdXa1uAL0rY72wPZu89,"23,060",32
One Dance,"Drake, WizKid, Kyla",2017-01-06,1xznGGDReH1oQq0xzbwXa3,"22,840",33
Chantaje (feat. Maluma),Shakira,2017-01-06,6mICuAdrwEjh6Y6lroV2Kg,"22,808",34
Starving,"Hailee Steinfeld, Grey, Zedd",2017-01-06,1qOLh0tI7trd1zdDKxYZTe,"22,737",35
"How Far I'll Go - From ""Moana""",Alessia Cara,2017-01-06,5hYTyyh2odQKphUbMqc5gN,"21,452",36
Hear Me Now,"Alok, Bruno Martini, Zeeba",2017-01-06,1a5Yu5L18qNxVhXx38njON,"21,045",37
By Your Side,"Jonas Blue, RAYE",2017-01-06,1D3ODoXHBLpdxolZRHWV1j,"20,727",38
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2017-01-06,6JV2JOEocMgcZxYSZelKcc,"20,672",39
I Would Like,Zara Larsson,2017-01-06,4Q4jmPHwu0wrJvqrld0FQ6,"20,379",40
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2017-01-06,68EMU2RD1ECNeOeJ5qAXCV,"20,316",41
The Greatest (feat. Kendrick Lamar),Sia,2017-01-06,7xHWNBFm6ObGEQPaUxHuKO,"20,025",42
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2017-01-06,17Fd6Yb7mSbinKG8LoWfFl,"20,012",43
All Time Low,Jon Bellion,2017-01-06,1CnPYaKxTVb4LWOtiGOm0m,"19,766",44
I Got You,Bebe Rexha,2017-01-06,1FUViuNSldssMIawrOXF2i,"19,212",45
Scars To Your Beautiful,Alessia Cara,2017-01-06,0prNGof3XqfTvNDxHonvdK,"19,006",46
The Mack,"Nevada, Mark Morrison, Fetty Wap",2017-01-06,7aV2mflaASUmGhCErm7kBO,"18,624",47
Stressed Out,Twenty One Pilots,2017-01-06,3CRDbSIZ4r5MsZ0YwxuEkn,"18,163",48
Photograph,Ed Sheeran,2017-01-06,6fxVffaTuwjgEk5h9QyRjy,"17,638",49
Bad and Boujee (feat. Lil Uzi Vert),Migos,2017-01-06,4Km5HrUvYTaSUfiSGPJeQR,"16,860",50
Solo Dance,Martin Jensen,2017-01-06,6HUnnBwYZqcED1eQztxMBN,"16,123",51
Lost on You,LP,2017-01-06,3SqvR3HYLlCTYzbDXJ52OC,"15,240",52
Faded,Alan Walker,2017-01-06,7gHs73wELdeycvS48JfIos,"15,071",53
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,2017-01-06,0L7loeTIg6akW84aEQZpCT,"14,626",54
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,2017-01-06,4dASQiO1Eoo3RJvt74FtXB,"13,472",55
Sunset Lover,Petit Biscuit,2017-01-06,0hNduWmlWmEmuwEFcYvRu1,"13,264",56
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,2017-01-06,40UroIGvsMPLPBYwH8rMNA,"13,192",57
Weak,AJR,2017-01-06,3E2Zh20GDCR9B1EYjfXWyv,"13,182",58
This Is What You Came For (feat. Rihanna),Calvin Harris,2017-01-06,0azC730Exh71aQlOt9Zj3y,"12,582",59
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2017-01-06,4tCtwWceOPWzenK2HAIJSb,"12,553",60
Lighthouse - Andrelli Remix,Hearts & Colors,2017-01-06,04CttTezSnv71USiiG9mIo,"12,320",61
Lot to Learn,Luke Christopher,2017-01-06,3TRFq09DUgYj1mug6RRqJW,"12,006",62
Dynamite (feat. Pretty Sister),Nause,2017-01-06,2Ae5awwKvQpTBKQHr1TYCg,"11,774",63
"City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling, Emma Stone",2017-01-06,0LtVx5vsq9nfpGsWgjUin6,"11,475",64
Panda,Desiigner,2017-01-06,5OOkp4U9P9oL23maHFHL1h,"11,474",65
The Ocean (feat. Shy Martin),Mike Perry,2017-01-06,2CPqh63wRVscbceKcPxwvv,"11,466",66
Hymn for the Weekend - Seeb Remix,Coldplay,2017-01-06,1OAiWI2oPmglaOiv9fdioU,"11,313",67
Perfect Strangers,"Jonas Blue, JP Cooper",2017-01-06,1CUVN2kn7mW5FjkqXTR2W1,"11,279",68
Don't Leave,"Snakehips, MØ",2017-01-06,0Zx8khUcEfCFK2AEoIhC92,"11,259",69
Thinking out Loud,Ed Sheeran,2017-01-06,1Slwb6dOYkBlWal1PGtnNg,"11,132",70
Not Going Home (feat. Gia Koka),"DVBBS, CMC$",2017-01-06,042x9bsUBWW2fJgJ6fUh61,"11,077",71
Setting Fires,"The Chainsmokers, XYLØ",2017-01-06,0B8B8cVRFIG1yznoQe7c9s,"10,985",72
Ride,Twenty One Pilots,2017-01-06,2Z8WuEywRWYTKe1NybPQEW,"10,951",73
Final Song,MØ,2017-01-06,4qqArAiTPueDxIp7cf87h7,"10,828",74
7 Years,Lukas Graham,2017-01-06,7129iqBafaphfc3WPCGC0L,"10,761",75
Fast Car,"Jonas Blue, Dakota",2017-01-06,6OZh916QF8XNunWaP97WEZ,"10,625",76
"Me, Myself & I","G-Eazy, Bebe Rexha",2017-01-06,40YcuQysJ0KlGQTeGUosTC,"10,622",77
The Greatest,Sia,2017-01-06,6bLopGnirdrilrpdVB6Um1,"10,602",78
Broccoli (feat. Lil Yachty),Shelley FKA DRAM,2017-01-06,7yyRTcZmCiyzzJlNzGC9Ol,"10,566",79
Make Me (Cry),"Noah Cyrus, Labrinth",2017-01-06,2BrzlUj1u1CtvaJDGIKpsP,"10,309",80
Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,2017-01-06,2wDjpPW3HZdA9quPPmZAMu,"10,308",81
Sofia,Alvaro Soler,2017-01-06,1VoHrSS3QQ6TbpabLrFiYb,"10,266",82
Don't Be So Shy - Filatov & Karas Remix,Imany,2017-01-06,00vk0sEfb6mr2ehwSw0Uhn,"10,123",83
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,2017-01-06,0tICYNayWWhH9GPeFrfjfD,"9,964",84
"Another Day Of Sun - From ""La La Land"" Soundtrack",La La Land Cast,2017-01-06,0zCfmceT1YvtZXGbR6Roht,"9,947",85
Capsize,"FRENSHIP, Emily Warren",2017-01-06,2XMTqoHHSH0lvuXrvIEdco,"9,946",86
Sugar (feat. Francesco Yates),Robin Schulz,2017-01-06,5tf1VVWniHgryyumXyJM7w,"9,826",87
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,2017-01-06,6YZdkObH88npeKrrkb8Ggf,"9,818",88
Love Yourself,Justin Bieber,2017-01-06,3hB5DgAiMAQ4DzYbsMq1IT,"9,757",89
Light,San Holo,2017-01-06,7zTx8ePYAmPFQuxP3xlXZn,"9,757",90
Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy,2017-01-06,1Bqxj0aH5KewYHKUg1IdrF,"9,721",91
Cake By The Ocean,DNCE,2017-01-06,2aFiaMXmWsM3Vj72F9ksBl,"9,717",92
Élnünk Kellett Volna,"Halott Pénz, Agebeat & Kovary",2017-01-06,361EamWYN312TFEpgNBDTE,"9,417",93
Lean On (feat. MØ & DJ Snake),Major Lazer,2017-01-06,4WjH9Bzt3kx7z8kl0awxh4,"9,383",94
Sex,"Cheat Codes, Kris Kross Amsterdam",2017-01-06,5DA77EqppDmCTWGovd4oTP,"9,343",95
Taped up Heart (feat. Clara Mae),KREAM,2017-01-06,26hcyzSE154xMZCbFdtInA,"9,273",96
Caroline,Aminé,2017-01-06,5GFDrUTLGJix84sNhjCG0g,"9,156",97
Into You,Ariana Grande,2017-01-06,7yHEDfrJNd0zWOfXwydNH0,"9,026",98
Party Monster,The Weeknd,2017-01-06,4F7A0DXBrmUAkp32uenhZt,"8,889",99
Water Under the Bridge,Adele,2017-01-06,4vb4mFvYsr2h6enhjJsq9Y,"8,867",100
Lush Life,Zara Larsson,2017-01-06,1rIKgCH4H52lrvDcz50hS8,"8,710",101
Start A Fire,John Legend,2017-01-06,3gGHAScxUDsJqcAM6ZvjuH,"8,605",102
Cool Girl,Tove Lo,2017-01-06,5dKyZWlgjWw1oJgLa4GCZD,"8,590",103
Would I Lie to You - Radio Edit,"David Guetta, Cedric Gervais, Chris Willis",2017-01-06,4PdJSsESm34djLfBde9Pr2,"8,569",104
Cake - Challenge Version,"Flo Rida, 99 Percent",2017-01-06,6t2ubAB4iSYOuIpRAOGd4t,"8,397",105
It's Gotta Be You,Isaiah Firebrace,2017-01-06,6cAKeFFYW2aClZSUyvqAEW,"8,372",106
Safari,"J Balvin, Pharrell Williams, BIA, Sky",2017-01-06,6rQSrBHf7HlZjtcMZ4S4bO,"8,340",107
The A Team,Ed Sheeran,2017-01-06,1VdZ0vKfR5jneCmWIUAMxK,"8,288",108
Ain't My Fault,Zara Larsson,2017-01-06,0ADG9OgdVTL7fgREP75BrZ,"8,120",109
"City Of Stars - From ""La La Land"" Soundtrack/Pier",Ryan Gosling,2017-01-06,7jltqRIyxLXBDNZ1QlmnBp,"7,979",110
Oh Lord,MiC LOWRY,2017-01-06,1sTUEdVO85YU8Ymk2jeAls,"7,929",111
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,2017-01-06,3B7udSGy2PfgoCniMSb523,"7,880",112
Send My Love (To Your New Lover),Adele,2017-01-06,4BHzQ9C00ceJxfG16AlNWb,"7,877",113
"Someone In The Crowd - From ""La La Land"" Soundtrack","Emma Stone, Callie Hernandez, Sonoya Mizuno, Jessica Rothe",2017-01-06,7xE4vKvjqUTtHyJ9zi0k1q,"7,858",114
Purple Lamborghini (with Rick Ross),Skrillex,2017-01-06,6JyuJFedEvPmdWQW0PkbGJ,"7,781",115
"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack",Justin Hurwitz,2017-01-06,1R17cgUv6HeQFa78dzqb7s,"7,703",116
Let Me Hold You (Turn Me On),"Dante Klein, Cheat Codes",2017-01-06,0lmdsH1MIoLsMymnNpd6HU,"7,650",117
Wake Up Where You Are,State of Sound,2017-01-06,2s76aKBWKShlwPC4xTtEEE,"7,638",118
Oracle,Timmy Trumpet,2017-01-06,5oGm8Hm6sUQIlGu0X0p6xS,"7,534",119
Million Reasons,Lady Gaga,2017-01-06,50PWlIBU7PlGGwzgN8TiFJ,"7,486",120
Ocean Drive,Duke Dumont,2017-01-06,0k93MXOj0kSXo84SvSDeUz,"7,362",121
'Till I Collapse,"Eminem, Nate Dogg",2017-01-06,6yr8GiTHWvFfi4o6Q5ebdT,"7,351",122
No Money,Galantis,2017-01-06,0gb1J5UrTpzaU1s3nupgCd,"7,338",123
Lay It All on Me (feat. Ed Sheeran),Rudimental,2017-01-06,0vbbhcA6okLzvsy6WSTlLg,"7,305",124
Don't,Ed Sheeran,2017-01-06,6gTJaPuj8DT8RjuDJyBgzP,"7,297",125
Kill Em With Kindness,Selena Gomez,2017-01-06,7KxhSJOYiqCDclXDBNlFSZ,"7,269",126
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,2017-01-06,5Z01UMMf7V1o0MzF86s6WJ,"7,180",127
Sorry,Justin Bieber,2017-01-06,69bp2EbF7Q2rqc5N3ylezZ,"7,126",128
Romantic - NOTD Remix,Stanaj,2017-01-06,3SGWp9fJCzgK0WcpcKSQdy,"7,115",129
"A Lovely Night - From ""La La Land"" Soundtrack","Ryan Gosling, Emma Stone",2017-01-06,2fXH2iei02pBaSIdn5X4zJ,"7,052",130
Darabokra Törted A Szívem,Halott Pénz,2017-01-06,6OrEcJ6PZCeaRaDeJYBz6q,"7,050",131
Reggaetón Lento (Bailemos),CNCO,2017-01-06,3AEZUABDXNtecAOSC1qTfo,"7,027",132
History,Olivia Holt,2017-01-06,0WCEaydwN65cvwaW8aqptF,"6,898",133
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",2017-01-06,2H3ZUSE54pST4ubRd5FzFR,"6,878",134
Stitches,Shawn Mendes,2017-01-06,1WP1r7fuvRqZRnUaTi2I1Q,"6,809",135
Tuesday,"Burak Yeter, Danelle Sandoval",2017-01-06,7abpmGpF7PGep2rDU68GBR,"6,783",136
Sexual,"NEIKED, Dyo",2017-01-06,3AsAuGTaDQzavZZThyYlop,"6,763",137
"Epilogue - From ""La La Land"" Soundtrack",Justin Hurwitz,2017-01-06,1WOmEg42Mgaz1nRimIMR9C,"6,708",138
September Song,JP Cooper,2017-01-06,0FuTx2s3YH1ppmtiM6l0zI,"6,704",139
Raging (feat. Kodaline),Kygo,2017-01-06,2Vhd5uZB4brKHmM0MNxkZo,"6,680",140
"i hate u, i love u (feat. olivia o'brien)",gnash,2017-01-06,7vRriwrloYVaoAe3a9wJHe,"6,659",141
Take Me To Church,Hozier,2017-01-06,0IqKeD8ZSP72KbGYyzEcAs,"6,618",142
Somebody Else,VÉRITÉ,2017-01-06,34i4yxPrHWquuR4kjiivFO,"6,608",143
Without Me,Eminem,2017-01-06,7lQ8MOhq6IN2w8EYcFNSUk,"6,554",144
Work,"Rihanna, Drake",2017-01-06,14WWzenpaEgQZlqPq2nk4v,"6,497",145
Miss You,James Hersey,2017-01-06,7of1slAJIWrXxP8ikAHxje,"6,421",146
Stay (feat. Maty Noyes),Kygo,2017-01-06,2FiSTH0GYpIioUgjfzMIja,"6,410",147
Move Your Body - Single Mix,Sia,2017-01-06,7ynCQo1KpBOyTdTdAnjSLZ,"6,376",148
Needed Me,Rihanna,2017-01-06,1Tt4sE4pXi57mTD1GCzsqm,"6,358",149
Cheap Thrills (feat. Sean Paul),Sia,2017-01-06,378iszndTZAR4dH8kwsLC6,"6,294",150
Bounce Back,Big Sean,2017-01-06,0SGkqnVQo9KPytSri1H6cF,"6,220",151
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,2017-01-06,3bidbhpOYeV4knp8AIu8Xn,"6,219",152
Love on Me,"Galantis, Hook N Sling",2017-01-06,2MHCiOohBZEQuLgDTPvSzF,"6,200",153
Hello,Adele,2017-01-06,4sPmO7WMQUAf45kwMOtONw,"6,136",154
Tenerife Sea,Ed Sheeran,2017-01-06,6vSwxzO2Qf4BinHSXRwZJe,"6,096",155
Wherever I Go,OneRepublic,2017-01-06,46jLy47W8rkf8rEX04gMKB,"6,074",156
Please Don't Go,Joel Adams,2017-01-06,3cNjgVBKTJ1SvKhunrCdVy,"6,071",157
Sidewalks,"The Weeknd, Kendrick Lamar",2017-01-06,4h90qkbnW1Qq6pBhoPvwko,"6,045",158
"Audition (The Fools Who Dream) - From ""La La Land"" Soundtrack",Emma Stone,2017-01-06,2lDWYLNnfYyXngjz4plpy2,"6,036",159
Hymn for the Weekend,Coldplay,2017-01-06,3RiPr603aXAoi4GHyXx0uy,"5,996",160
Too Good,"Drake, Rihanna",2017-01-06,11KJSRSgaDxqydKYiD2Jew,"5,968",161
Radioactive,Imagine Dragons,2017-01-06,6Ep6BzIOB9tz3P4sWqiiAB,"5,956",162
Sing Me to Sleep,Alan Walker,2017-01-06,2Fjz5ZC5BvFdCqcnTZ3ilH,"5,906",163
Oceans Away,A R I Z O N A,2017-01-06,6A8dnC0xkiuWN4BshmTB2I,"5,868",164
Never Give Up,Sia,2017-01-06,1ssmjAYSU5PbmsjLq5yrNH,"5,829",165
Never Be Like You,"Flume, kai",2017-01-06,12REd1n8PeiHHWOh066tpr,"5,813",166
No Lie,"Sean Paul, Dua Lipa",2017-01-06,3cFsmM51N5zMAuu1nNY4Tw,"5,810",167
Give Me Love,Ed Sheeran,2017-01-06,0SuG9kyzGRpDqrCWtgD6Lq,"5,753",168
"Planetarium - From ""La La Land"" Soundtrack",Justin Hurwitz,2017-01-06,5gcA28rUaSsEOM5g7Q5wF5,"5,682",169
"Partizán, Pt. 2","Punnany Massif, Papp Szabi",2017-01-06,18pwejzjxIK3wwUyxWShuS,"5,642",170
Say It (feat. Tove Lo),Flume,2017-01-06,4sQMalN597HdggTu196aL0,"5,641",171
Valami Van A Levegőben,Halott Pénz,2017-01-06,7xOUR4tRfNXMBcSgesqROh,"5,633",172
Pumped Up Kicks,Foster The People,2017-01-06,7w87IxuO7BDcJ3YUqCyMTT,"5,620",173
Gold,Kiiara,2017-01-06,6WhzFzROw3aq3rPWjgYlxr,"5,579",174
This Town,Niall Horan,2017-01-06,5nA67Y0XX9JipZwYxX7Gl7,"5,567",175
Blow Your Mind (Mwah),Dua Lipa,2017-01-06,2eAAEa8pxKF7My0EO4rFgR,"5,566",176
The Other,Lauv,2017-01-06,1lntL1cI2UIWlxjL5QiN8g,"5,541",177
Perfect Illusion,Lady Gaga,2017-01-06,5ou59ERA2f7ffyAxAcZyVz,"5,539",178
Roses (feat. ROZES),The Chainsmokers,2017-01-06,6O6M7pJLABmfBRoGZMu76Y,"5,520",179
"Engagement Party - From ""La La Land"" Soundtrack",Justin Hurwitz,2017-01-06,5PYPCxyWltRIyPkhSsnWIk,"5,508",180
Thinking About It (Let It Go) - KVR Remix,Nathan Goshen,2017-01-06,0yJv0G7r1PZIl1CY5XhvkR,"5,500",181
Alarm,Anne-Marie,2017-01-06,0OwX5aROoW1Iip8FV51Efg,"5,494",182
Chandelier,Sia,2017-01-06,4VrWlk8IQxevMvERoX08iC,"5,469",183
Titanium (feat. Sia),David Guetta,2017-01-06,2dOTkLZFbpNXrhc24CnTFd,"5,402",184
Last Resort,Papa Roach,2017-01-06,5eek2X5459T1HoYJk2CKXv,"5,387",185
Middle,"DJ Snake, Bipolar Sunshine",2017-01-06,4OZEu0Vwq0RB2LAq14v99n,"5,366",186
Majd,Halott Pénz,2017-01-06,5XAkMxNfDXsZj1JNxNbuMm,"5,288",187
Ophelia,The Lumineers,2017-01-06,7bTwYGhBdSQ8vuXc76Xint,"5,276",188
I Want You Back,The Jackson 5,2017-01-06,3b0EOvScbZUc0qJx0E1L2z,"5,269",189
PILLOWTALK,ZAYN,2017-01-06,0PDUDa38GO8lMxLCRc4lL1,"5,268",190
In the End,Linkin Park,2017-01-06,60a0Rd6pjrkxjPbaKzXjfq,"5,259",191
Élvezd,Punnany Massif,2017-01-06,15Zz41Ec3C6Rh6nDZa8331,"5,246",192
Erre Még Meghívlak,"Halott Pénz, Kőváry Zoli",2017-01-06,5ZSNgIREfPZMJQ2ssDQQvW,"5,187",193
All of Me,John Legend,2017-01-06,2q6tgiA9tpb6DMguABwCWE,"5,180",194
"Herman’s Habit - From ""La La Land"" Soundtrack",Justin Hurwitz,2017-01-06,2SR8QbdNfzA3SUv4rt33sJ,"5,159",195
Stole the Show,"Kygo, Parson James",2017-01-06,5masKPHeAOVNgxdLebIcK7,"5,135",196
Let Her Go,Passenger,2017-01-06,2jyjhRf6DVbMPU5zxagN2h,"5,133",197
Billie Jean,Michael Jackson,2017-01-06,5ChkMS8OtdzJeqyybCc9R5,"5,106",198
My House,Flo Rida,2017-01-06,6Knv6wdA0luoMUuuoYi2i1,"5,052",199
Seven Nation Army,The White Stripes,2017-01-06,1jNOi6m3Hn8nLEeHCp5Msr,"5,048",200
Shape of You,Ed Sheeran,2017-01-13,7qiZfU4dY1lWllzX7mPBI3,"125,521",1
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-13,5knuzwU65gJK7IF5yJsuaW,"64,961",2
Castle on the Hill,Ed Sheeran,2017-01-13,6PCUP3dWmTjcTtXY02oFdT,"55,630",3
Paris,The Chainsmokers,2017-01-13,72jbDTw1piOOj770jWNeaG,"52,080",4
Starboy,"The Weeknd, Daft Punk",2017-01-13,5aAx2yezTd8zXrkmtKl66Z,"47,012",5
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2017-01-13,3NdDpSvN911VPGivFlV5d0,"45,311",6
Call On Me - Ryan Riback Extended Remix,Starley,2017-01-13,78rIJddV4X0HkNAInEcYde,"39,352",7
Closer,"The Chainsmokers, Halsey",2017-01-13,7BKLCZ1jbUBVqRi2FVlTVw,"37,410",8
Don't Wanna Know,"Maroon 5, Kendrick Lamar",2017-01-13,5MFzQMkrl1FOOng9tq6R9r,"35,920",9
Just Hold On,"Steve Aoki, Louis Tomlinson",2017-01-13,3EmmCZoqpWOTY1g2GBwJoR,"35,692",10
Human,Rag'n'Bone Man,2017-01-13,58zsLZPvfflaiIbNWoA22O,"34,912",11
I Feel It Coming,"The Weeknd, Daft Punk",2017-01-13,5GXAXm5YOmYT0kL5jHvYBt,"34,052",12
Let Me Love You,"DJ Snake, Justin Bieber",2017-01-13,4pdPtRcBmOSQDlJ3Fk945m,"33,422",13
Say You Won't Let Go,James Arthur,2017-01-13,5uCax9HTNlzGybIStD3vDh,"32,271",14
Alone,Alan Walker,2017-01-13,0JiVRyTJcJnmlwCZ854K4p,"30,148",15
All Night,"The Vamps, Matoma",2017-01-13,1yNyoWWWikbLhwIGWjZuDW,"29,393",16
Heathens,Twenty One Pilots,2017-01-13,6i0V12jOa3mr6uu4WYhUBr,"29,267",17
Now and Later,Sage The Gemini,2017-01-13,43jBqV3j3Xi1g6wO0bhIMd,"29,057",18
My Way,Calvin Harris,2017-01-13,1vvNmPOiUuyCbgWmtc6yfm,"27,470",19
Bad Things (with Camila Cabello),Machine Gun Kelly,2017-01-13,1PSBzsahR2AKwLJgx8ehBj,"26,680",20
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",2017-01-13,1cG0umU5TKStygKsPFZ9pY,"26,376",21
All We Know,"The Chainsmokers, Phoebe Ryan",2017-01-13,2rizacJSyD9S1IQUxUxnsK,"26,197",22
In the Name of Love,"Martin Garrix, Bebe Rexha",2017-01-13,04DwTuZ2VBdJCCC5TROn7L,"26,047",23
24K Magic,Bruno Mars,2017-01-13,6b8Be6ljOzmkOmFslEb23P,"25,912",24
"How Far I'll Go - From ""Moana""",Alessia Cara,2017-01-13,5hYTyyh2odQKphUbMqc5gN,"25,681",25
Chantaje (feat. Maluma),Shakira,2017-01-13,6mICuAdrwEjh6Y6lroV2Kg,"25,399",26
Solo Dance,Martin Jensen,2017-01-13,6HUnnBwYZqcED1eQztxMBN,"25,199",27
Black Beatles,"Rae Sremmurd, Gucci Mane",2017-01-13,6fujklziTHa8uoM5OQSfIo,"25,106",28
Mercy,Shawn Mendes,2017-01-13,4TZy1wLyHec06pwgFYDh1a,"24,910",29
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2017-01-13,6DNtNfH8hXkqOX1sjqmI7p,"24,862",30
Side To Side,"Ariana Grande, Nicki Minaj",2017-01-13,4pLwZjInHj3SimIyN9SnOz,"24,436",31
Love Me Now,John Legend,2017-01-13,6nxQdXa1uAL0rY72wPZu89,"24,348",32
Fake Love,Drake,2017-01-13,343YBumqHu19cGoGARUTsd,"23,907",33
Hear Me Now,"Alok, Bruno Martini, Zeeba",2017-01-13,1a5Yu5L18qNxVhXx38njON,"23,622",34
All Time Low,Jon Bellion,2017-01-13,1CnPYaKxTVb4LWOtiGOm0m,"23,441",35
Treat You Better,Shawn Mendes,2017-01-13,4Hf7WnR761jpxPr5D46Bcd,"22,942",36
Cheap Thrills,Sia,2017-01-13,27SdWb2rFzO6GWiYDBTD9j,"21,969",37
Don't Let Me Down (feat. Daya),The Chainsmokers,2017-01-13,0QsvXIfqM0zZoerQfsI9lm,"21,672",38
Starving,"Hailee Steinfeld, Grey, Zedd",2017-01-13,1qOLh0tI7trd1zdDKxYZTe,"21,475",39
I Got You,Bebe Rexha,2017-01-13,1FUViuNSldssMIawrOXF2i,"21,294",40
I Would Like,Zara Larsson,2017-01-13,4Q4jmPHwu0wrJvqrld0FQ6,"21,092",41
The Greatest (feat. Kendrick Lamar),Sia,2017-01-13,7xHWNBFm6ObGEQPaUxHuKO,"20,912",42
By Your Side,"Jonas Blue, RAYE",2017-01-13,1D3ODoXHBLpdxolZRHWV1j,"20,865",43
One Dance,"Drake, WizKid, Kyla",2017-01-13,1xznGGDReH1oQq0xzbwXa3,"20,617",44
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2017-01-13,68EMU2RD1ECNeOeJ5qAXCV,"19,898",45
